URL,Manual_Num_sw_records,Category,Notes
http://publications.aston.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://cedadocs.badc.rl.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://eprints.mdx.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://eprints.ma.man.ac.uk/perl/oai2,0,No direct software search capability,No software search item
http://etheses.whiterose.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://eprints.whiterose.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://researchonline.rca.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
https://pureapps2.hw.ac.uk/ws/oai,0,Cannot access,Needs registration
http://specialcollections.le.ac.uk/oai/oai.php,0,Not a standard research output repo,Special records for Leicester
http://archive.researchdata.leeds.ac.uk/cgi/oai2,0,Not a standard research output repo,Leeds Dataset Repo
http://discovery.ucl.ac.uk/cgi/oai2,7,Contains software,"UCL has software type on webpage, but no software set"
http://uobrep.openrepository.com/uobrep/oai/request,0,Does not contain software,"Type in search bar filter, but ‘software’ gives 0 results"
http://datacompass.lshtm.ac.uk/cgi/oai2/,0,Not a standard research output repo,LSHTM dataset repo
http://risweb.st-andrews.ac.uk/ws/oai,207,Contains software,https://risweb.st-andrews.ac.uk/portal/en/datasets/search.html?uri=&lastName=&search=&organisationName=&organisations=&type=%2Fdk%2Fatira%2Fpure%2Fdataset%2Fdatasettypes%2Fdataset%2Fsoftware&openAccessPermissionStatus=
http://bcu.eprints-hosting.org/cgi/oai2,0,No direct software search capability,No software search item
http://repository.jisc.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://repository.alt.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://eprints.lancs.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://eprints.leedsbeckett.ac.uk/cgi/oai2,0,Does not contain software,"Software type, but 0 records"
http://hira.hope.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
https://www.dora.dmu.ac.uk/oai/request,0,No direct software search capability,No software search item
http://theses.gla.ac.uk/cgi/oai2,0,Not a standard research output repo,Glasgow theses
https://napier-surface.worktribe.com/oaiprovider,0,No direct software search capability,No software search item
http://spiral.imperial.ac.uk/dspace-oai/request,286,Contains software,Manual search for type contains ‘software’
http://ualresearchonline.arts.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://openaccess.sgul.ac.uk/cgi/oai2,0,Does not contain software,"Software type, but 0 records"
http://eprints.chi.ac.uk/cgi/oai2/,0,No direct software search capability,No software search item
https://lau.collections.crest.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://researchdata.gla.ac.uk/cgi/oai2,117,Contains software,Search types for ‘software’ and ‘code’
http://centaur.reading.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://research.gold.ac.uk/cgi/oai2,28,Contains software,Software type. OAI has set Type = Software
http://www.edshare.soton.ac.uk/cgi/oai2,0,No direct software search capability,"No software search item. Does include software license search, which gives 7 results- none research software."
https://eprint.ncl.ac.uk/oai/,0,No direct software search capability,No software search item
http://pure.qub.ac.uk/ws/oai,39,Contains software,Software type
http://eprints.glos.ac.uk/cgi/oai2,4,Contains software,Software type
http://researchonline.rcm.ac.uk/cgi/oai2,0,No direct software search capability,No software search item
http://journals.gold.ac.uk/index/oai,0,Not a standard research output repo,Goldsmiths UoL Journal repo
